ID,PDB code,pKd pKi pIC50,Canonical SMILES
140,1d2e,6,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
141,1d3d,9.09,Oc1ccc2c(c1)sc(c2Cc1ccc(c(c1)Br)C[NH+]1CCCC1)c1ccc(cc1)OCC[NH+]1CCCC1
142,1d3p,7.39,Oc1ccc2c(c1)sc(c2Cc1ccc(cc1)OCC[NH+]1CCCC1)c1ccc(nc1)OCC[NH+]1CCCC1
143,1d4h,10,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1ccccc1)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
144,1d4i,8.85,O=C([C@@H](C[C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
145,1d4j,8.36,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1c(F)cccc1Cl)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
146,1d4k,9.22,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H](C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)O)Cc2ccc(cc2)OCCCCCNC1=O)C
147,1d4l,8.77,CC(CCN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)C
148,1d4p,6.3,O=C(c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)N1CCC(CC1)Cc1ccccc1
149,1d4y,11.1,CCC[C@@]1(CCc2ccccc2)CC(=C(C(=O)O1)[C@@H](c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC)O
150,1d6v,6.17,OC(=O)CCCNC(=O)c1ccc(cc1)[C@H]1CC[C@@H](C[C@@H]1O)c1ccccc1
151,1d6w,5.96,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)N[C@@H]1CC[C@H](CC1)c1cnc([nH]1)N
152,1d7i,3.6,CSC[S@@](=O)C
153,1d7j,3.3,CC(=O)CCO
154,1d9i,9.11,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)NC[C@@H]1CC[C@H](CC1)[NH3+]
155,1dar,4.96,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
156,1det,4.3,OC[C@H]1O[C@H]([C@H]([C@@H]1O)OP(O)(O)O)n1cnc2c1nc(N)[nH]c2=O
157,1df8,9.7,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
158,1dgm,5.05,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
159,1dhi,7.26,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
160,1dhj,6.55,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
161,1dif,10.66,CC([C@@H](C(=O)N[C@H](C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)N(Cc1ccccn1)C)Cc1ccccc1)(O)O)(F)F)Cc1ccccc1)NC(=O)N(Cc1ccccn1)C)C
162,1dl7,6.49,OP(Oc1ccc(cc1)N(=O)=O)(OCC[N+](C)(C)C)O
163,1dmp,9.55,Nc1cccc(c1)CN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(C1=O)Cc1cccc(c1)N)Cc1ccccc1)O
164,1dqn,8,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O
165,1drj,7.4,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O
166,1drk,6.82,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O
167,1drv,6.54,O[C@@H]1[C@H](O)[C@H](O[C@H]1N1C=CCC(=C1)C(=O)C)COP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)(O)O)(O)O
168,1dud,4.82,O[C@H]1C[C@@H](O[C@@H]1COP(OP(O)(O)O)(O)O)n1ccc(=O)[nH]c1=O
169,1duv,11.8,OC(=O)[C@H](CCCN[P@@](=O)(NS(O)(O)O)N)[NH3+]
170,1dy4,4.36,O[C@H](COc1cccc2c1cccc2)C[NH2+]C1CC1
171,1dzk,6.1,COc1nccnc1CC(C)C
172,1e1v,4.92,Nc1nc(OCC2CCCCC2)c2c(n1)[nH]cn2
173,1e1x,5.89,O=Nc1c(OCC2CCCCC2)nc(nc1N)N
174,1e2k,4.94,Cc1cn([C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O)c(=O)[nH]c1=O
175,1e2l,4.29,Cc1cn([C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O)c(=O)[nH]c1=O
176,1e3g,9,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
177,1e3v,4.34,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
178,1e4h,8.41,Brc1c(O)c(Br)c(c(c1Br)Br)Br
179,1e5j,4,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)OC)[C@@H]([C@H]([C@@H]1S[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)S[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
180,1.00E+66,9.89,CCC1=C[C@H]2C[C@@H](C1)c1c(C2)nc2c(c1N)ccc(c2)Cl
181,1e6q,3.15,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1[nH]nn2)O
182,1e6s,3.22,OC[C@H]1N/C(=N/O)/[C@@H]([C@H]([C@@H]1O)O)O
183,1eb2,6.01,O=C([C@@H](c1ccccc1)NC(=O)c1cccc(c1)C(=[NH2+])N)N1CC[C@H](CC1)C(=O)c1ccccc1
184,1ebw,9.05,CC[C@@H]([C@@H](C(=O)NC)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)[C@H](CC)C)OCc1ccccc1)O)O)OCC1=CCC=CC1)C
185,1eby,9.7,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
186,1ebz,9.4,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1
187,1ec0,8.49,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1F)O)O)OCc1ccccc1F)N[C@@H]1[C@H](O)Cc2c1cccc2
188,1ec1,8.92,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cscc1)O)O)OCc1ccc(cc1)c1cscc1
189,1ec2,10,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cccnc1)O)O)OCc1ccc(cc1)c1cccnc1
190,1ec3,9.04,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NCc1ccccn1)C(C)C)OCc1ccccc1)O)O)OCc1ccccc1)N[C@H](C(=O)NCc1ccccn1)C(C)C
191,1ec9,3.1,ONC(=O)[C@H]([C@@H]([C@H](C(=O)O)O)O)O
192,1ecq,3,OC(=O)[C@H](C[C@@H]([C@H](C(=O)O)O)O)O
193,1ecv,4.85,Ic1ccc(c(c1)C(=O)O)NC(=O)C(=O)O
194,1efy,8.22,COc1cccc(c1)c1nc2c([nH]1)cccc2C(=O)N
195,1egh,5.7,OC(=O)COP(O)(O)O
196,1ejn,5.62,O=C(N[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NCc1ccc(cc1)[NH+]=C(N)N
197,1ela,6.36,[NH3+]CCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)C(C)C)NC(=O)C(F)(F)F
198,1elb,7.15,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)Nc1ccc(cc1)C(C)C)CC(C)C)NC(=O)C(F)(F)F
199,1elc,6.66,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)Nc1ccc(cc1)C(C)C)Cc1ccccc1)NC(=O)C(F)(F)F
200,1eld,6.7,C[C@@H](C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)[C@H](Cc1ccccc1)NC(=O)C(F)(F)F
201,1ele,6.85,C[C@@H](C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)[C@H](C(C)C)NC(=O)C(F)(F)F
